iter	Passed	Remaining
0	0	97
1	1	92
2	2	95
3	4	99
4	5	102
5	6	100
6	7	101
7	8	100
8	9	99
9	11	99
10	12	98
11	13	97
12	14	95
13	15	94
14	16	93
15	17	92
16	18	91
17	19	91
18	21	90
19	22	90
20	23	88
21	24	87
22	26	87
23	27	85
24	28	84
25	29	83
26	30	82
27	31	81
28	32	80
29	33	78
30	34	77
31	36	76
32	37	75
33	38	74
34	39	74
35	41	73
36	42	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	63
43	49	62
44	50	62
45	51	60
46	53	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	53
53	61	52
54	61	50
55	62	49
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	83	29
74	84	28
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	19
83	94	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	9
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
